episode, time, score
1, 207, 283.174723
2, 222, 250.790522
3, 179, -111.976107
4, 212, 260.558234
5, 201, 263.238833
6, 258, 311.784942
7, 248, 272.239918
8, 201, 257.858177
9, 213, 275.038724
10, 250, 282.704080
11, 199, 276.572386
12, 249, 293.535782
13, 228, 273.469187
14, 243, 262.817561
15, 255, 278.971674
16, 205, 253.791055
17, 194, 279.088402
18, 212, 280.109983
19, 381, 271.155827
20, 209, 308.236660
21, 238, 288.981105
22, 226, 291.852823
23, 219, 265.780687
24, 1000, 159.002033
25, 252, 293.518948
26, 229, 287.050924
27, 221, 291.416331
28, 212, 263.078441
29, 201, 283.164569
30, 211, 231.490891
31, 1000, 160.820061
32, 239, 283.159732
33, 209, 255.854213
34, 214, 293.432760
35, 201, 274.928196
36, 225, 297.516768
37, 194, 283.718455
38, 218, 266.556291
39, 251, 296.112676
40, 244, 296.925776
41, 210, 256.117130
42, 194, 244.462860
43, 232, 285.450251
44, 189, 285.598547
45, 187, 279.504866
46, 1000, 136.606575
47, 204, 276.879790
48, 198, 272.067424
49, 206, 288.412215
50, 218, 286.710519
51, 224, 273.625180
52, 191, 280.776799
53, 199, 273.457299
54, 247, 285.953606
55, 217, 265.402279
56, 215, 291.370318
57, 200, 255.296076
58, 220, 266.877219
59, 199, 252.782209
60, 224, 269.613853
61, 195, 281.722731
62, 216, 300.100740
63, 214, 267.965952
64, 196, 245.524753
65, 210, 293.107914
66, 201, 256.152976
67, 198, 253.478533
68, 252, 264.273426
69, 202, 233.894282
70, 222, 252.937583
71, 229, 252.376651
72, 212, 276.322877
73, 218, 261.622826
74, 263, 242.910056
75, 234, 271.135706
76, 223, 266.027941
77, 210, 250.669302
78, 248, 272.064311
79, 235, 289.019435
80, 240, 276.987047
81, 230, 281.727777
82, 190, 270.986410
83, 215, 284.977732
84, 220, 242.555957
85, 239, 291.515873
86, 232, 250.571401
87, 233, 270.727992
88, 249, 286.656179
89, 211, 287.499321
90, 246, 299.731881
91, 195, 281.281185
92, 246, 307.918267
93, 186, 290.985504
94, 1000, 171.019848
95, 190, 253.754022
96, 194, 253.359786
97, 192, 237.453934
98, 208, 275.927113
99, 246, 298.450708
100, 264, 305.373930
