episode, time, score
1, 180, 256.803552
2, 171, 296.974607
3, 185, 307.525642
4, 173, 262.709598
5, 220, 261.083852
6, 1000, 183.914379
7, 163, 273.693621
8, 232, 306.861813
9, 240, 283.523929
10, 167, 291.119816
11, 209, 268.027105
12, 254, 308.023438
13, 213, 310.849000
14, 202, 275.306034
15, 191, 289.009431
16, 229, 234.294993
17, 214, 310.622757
18, 214, 307.282140
19, 184, 251.969503
20, 185, 274.684487
21, 209, 279.733216
22, 190, 310.497751
23, 188, 278.316387
24, 222, 302.123023
25, 159, 282.222825
26, 377, 263.217278
27, 194, 286.501674
28, 170, 277.534989
29, 238, 284.818318
30, 183, 252.195315
31, 220, 250.916271
32, 208, 275.788611
33, 176, 268.418321
34, 214, 304.954720
35, 168, 283.917393
36, 213, 281.137718
37, 201, 269.443489
38, 174, 256.658451
39, 181, 259.880323
40, 248, 314.622473
41, 186, 259.399685
42, 250, 271.935886
43, 178, 247.609304
44, 216, 315.487399
45, 175, 295.346845
46, 199, 274.483044
47, 194, 257.727748
48, 205, 262.728659
49, 244, 301.960146
50, 196, 282.680538
51, 185, 302.532604
52, 219, 278.461220
53, 197, 280.463044
54, 180, 244.899872
55, 179, 259.901730
56, 180, 234.817799
57, 187, 294.061152
58, 182, 289.138015
59, 202, 297.619064
60, 165, 279.533501
61, 250, 257.606196
62, 195, 276.852443
63, 178, 265.061078
64, 209, 304.886846
65, 173, 259.242988
66, 238, 297.478807
67, 214, 269.857933
68, 227, 287.340541
69, 211, 286.983529
70, 163, 266.729743
71, 193, 271.728207
72, 176, 307.311504
73, 165, 298.065708
74, 181, 285.511899
75, 180, 267.156169
76, 216, 268.584769
77, 184, 273.914350
78, 166, 260.813564
79, 178, 305.591789
80, 182, 257.031323
81, 170, 270.827459
82, 246, 297.288144
83, 204, 297.404484
84, 189, 241.310506
85, 181, 243.343041
86, 269, 308.721765
87, 209, 286.880177
88, 232, 284.217031
89, 179, 266.619571
90, 164, 266.163571
91, 225, 302.475879
92, 181, 281.218552
93, 167, 278.792608
94, 213, 306.611088
95, 222, 281.206064
96, 203, 298.966919
97, 233, 291.387445
98, 200, 295.780040
99, 200, 288.966584
100, 170, 257.215067
