episode, time, score
1, 193, 270.442801
2, 238, 246.003180
3, 216, 279.518376
4, 212, 254.463304
5, 222, 264.692087
6, 268, 283.635029
7, 175, 287.463570
8, 269, 273.652133
9, 574, 266.793558
10, 252, 242.723696
11, 190, 288.319361
12, 205, 311.380651
13, 291, 270.215382
14, 192, 283.987700
15, 244, 299.210162
16, 286, 296.148280
17, 267, 270.851542
18, 297, 261.549388
19, 213, 245.007174
20, 250, 267.063194
21, 265, 290.751950
22, 247, 270.129090
23, 60, -102.035710
24, 268, 287.068486
25, 189, 251.796807
26, 229, 231.546391
27, 229, 246.057829
28, 245, 246.635034
29, 140, 22.442666
30, 1000, 166.318912
31, 252, 292.620422
32, 98, 3.461967
33, 190, 258.074019
34, 227, 221.109677
35, 185, 246.749120
36, 227, 288.431210
37, 250, 287.257726
38, 114, -4.701582
39, 226, 279.449258
40, 255, 226.425193
41, 194, 234.195166
42, 253, 272.063705
43, 266, 264.733420
44, 251, 257.811475
45, 217, 237.967399
46, 218, 264.077023
47, 251, 298.926106
48, 277, 256.819610
49, 164, 282.026334
50, 254, 243.229107
51, 236, 264.485799
52, 229, 281.832185
53, 219, 224.459714
54, 221, 256.356167
55, 226, 275.735431
56, 158, 250.013284
57, 246, 248.082902
58, 265, 275.810020
59, 209, 266.546838
60, 57, -150.433557
61, 221, 268.168328
62, 228, 291.648364
63, 258, 259.328035
64, 205, 262.924077
65, 246, 243.439916
66, 261, 260.143095
67, 167, 286.802637
68, 179, 294.188580
69, 255, 272.620018
70, 261, 243.707475
71, 255, 251.415787
72, 156, 249.591798
73, 72, -93.817461
74, 225, 280.551101
75, 244, 289.041469
76, 88, 44.150646
77, 265, 295.219365
78, 231, 306.070225
79, 214, 270.623963
80, 294, 250.282468
81, 285, 266.313416
82, 223, 251.611756
83, 253, 245.473302
84, 211, 240.608687
85, 167, 47.425534
86, 220, 244.550735
87, 255, 321.926301
88, 230, 283.437675
89, 286, 274.055918
90, 286, 262.337439
91, 226, 250.684098
92, 192, 273.594868
93, 221, 290.443557
94, 191, 258.325479
95, 110, 0.275183
96, 206, 264.658690
97, 53, -134.539607
98, 195, 290.130841
99, 155, 15.745128
100, 239, 251.383743
