episode, time, score
1, 188, 280.588494
2, 194, 315.464987
3, 187, 245.409733
4, 1000, 187.816801
5, 196, 283.000525
6, 190, 268.646840
7, 190, 250.894283
8, 197, 289.335945
9, 213, 290.111717
10, 1000, 175.669966
11, 1000, 154.091363
12, 215, 290.833808
13, 178, 248.159164
14, 1000, 182.400427
15, 232, 253.470666
16, 232, 293.021801
17, 222, 285.874513
18, 215, 266.820803
19, 178, 237.465855
20, 171, 280.861278
21, 200, 253.675023
22, 221, 287.642502
23, 243, 314.008423
24, 197, 281.335666
25, 172, 262.344550
26, 190, 289.693835
27, 210, 271.478529
28, 223, 316.777949
29, 201, 259.344597
30, 211, 284.832749
31, 222, 268.973751
32, 199, 261.752220
33, 1000, 133.061749
34, 250, 302.215597
35, 213, 243.030701
36, 177, 298.073520
37, 178, 275.014698
38, 183, 293.095947
39, 223, 250.645069
40, 198, 252.789136
41, 199, 252.253463
42, 177, 256.572063
43, 188, 305.902084
44, 200, 318.731971
45, 210, 276.120033
46, 205, 239.643130
47, 189, 275.794049
48, 183, 286.146905
49, 230, 296.333995
50, 197, 263.875202
51, 246, 302.351482
52, 213, 304.099214
53, 227, 254.460041
54, 207, 272.199851
55, 186, 303.044009
56, 244, 310.824934
57, 276, 254.766835
58, 178, 245.559296
59, 192, 262.006878
60, 176, 284.855122
61, 194, 310.809783
62, 237, 283.896862
63, 181, 277.200813
64, 217, 243.763945
65, 192, 272.524134
66, 217, 283.237520
67, 188, 273.496115
68, 213, 238.369596
69, 253, 277.551609
70, 341, 270.148114
71, 224, 285.221459
72, 188, 259.722813
73, 187, 262.897877
74, 213, 277.289858
75, 179, 258.328377
76, 225, 307.823564
77, 185, 274.549897
78, 197, 269.655202
79, 206, 270.556794
80, 174, 234.390875
81, 249, 279.278438
82, 181, 254.234653
83, 191, 299.436630
84, 195, 246.032501
85, 194, 286.619009
86, 198, 318.731697
87, 191, 299.736564
88, 194, 264.841730
89, 200, 293.538281
90, 209, 262.590203
91, 182, 260.745854
92, 185, 279.711756
93, 193, 302.847987
94, 211, 273.721713
95, 193, 306.087580
96, 207, 290.281671
97, 192, 287.289838
98, 237, 309.049695
99, 183, 276.004565
100, 995, 291.120041
