episode, time, score
1, 219, 258.608254
2, 218, 251.287923
3, 255, 261.534268
4, 223, 244.153739
5, 224, 275.790089
6, 247, 258.787521
7, 204, 271.070445
8, 209, 260.554871
9, 225, 273.785531
10, 226, 251.652363
11, 343, 258.404399
12, 238, 291.186526
13, 270, 270.066695
14, 238, 227.666646
15, 215, 260.665545
16, 260, 243.380266
17, 219, 283.461057
18, 241, 302.018696
19, 251, 278.518870
20, 225, 281.035048
21, 211, 235.660169
22, 229, 268.399735
23, 217, 271.860931
24, 191, 282.224415
25, 218, 225.245935
26, 335, 208.770727
27, 216, 226.368442
28, 248, 258.198366
29, 202, 217.126113
30, 244, 275.738102
31, 293, 207.689068
32, 267, 267.736923
33, 218, 206.070627
34, 231, 293.758564
35, 230, 274.591116
36, 241, 264.893868
37, 248, 266.383026
38, 265, 278.070990
39, 146, 78.976103
40, 316, 256.469001
41, 1000, 147.820087
42, 220, 282.501048
43, 231, 280.620151
44, 206, 246.321027
45, 247, 212.672884
46, 224, 275.588145
47, 1000, 154.552519
48, 254, 256.524312
49, 1000, 116.736794
50, 1000, 153.396619
51, 224, 254.949606
52, 276, 273.858910
53, 238, 184.476100
54, 633, 182.061114
55, 266, 271.227864
56, 275, 229.290375
57, 260, 267.354452
58, 330, 219.456752
59, 245, 255.760992
60, 244, 300.137217
61, 250, 265.252639
62, 216, 241.450108
63, 264, 283.416572
64, 298, 281.329050
65, 239, 257.749630
66, 216, 230.229230
67, 264, 291.765540
68, 257, 276.961825
69, 1000, 114.586319
70, 244, 252.097668
71, 296, 276.250278
72, 200, 242.840978
73, 196, 296.786275
74, 323, 261.305676
75, 246, 254.701900
76, 276, 260.630623
77, 264, 257.486471
78, 282, 261.193358
79, 214, 274.207426
80, 223, 231.670820
81, 1000, 127.810565
82, 297, 256.110068
83, 204, 272.639917
84, 1000, 104.958832
85, 422, 280.637360
86, 255, 254.469318
87, 249, 256.588835
88, 192, -44.333534
89, 211, 237.182474
90, 221, 233.635798
91, 241, 230.082578
92, 255, 263.064181
93, 246, 256.089431
94, 263, 254.055287
95, 247, 278.865809
96, 223, 247.912384
97, 801, 178.790991
98, 226, 295.811687
99, 235, 294.083115
100, 199, 245.996859
