episode, time, score
1, 187, 301.362412
2, 206, 300.802459
3, 107, 83.129731
4, 194, 274.612857
5, 207, 301.335439
6, 193, 254.167681
7, 224, 290.457758
8, 204, 248.212917
9, 199, 292.485814
10, 199, 249.391761
11, 201, 257.832297
12, 218, 270.475626
13, 198, 283.357141
14, 195, 261.807398
15, 201, 255.311849
16, 170, 307.008320
17, 193, 259.854972
18, 210, 288.142671
19, 222, 293.707235
20, 203, 279.027223
21, 221, 279.385941
22, 208, 281.840013
23, 205, 277.433507
24, 213, 305.518826
25, 267, 281.460624
26, 187, 283.007382
27, 191, 282.445803
28, 185, 249.915327
29, 191, 263.447359
30, 201, 281.847717
31, 194, 259.173196
32, 180, 269.620202
33, 191, 262.328715
34, 186, 270.389234
35, 184, 282.968732
36, 183, 301.279311
37, 215, 292.866927
38, 207, 304.794059
39, 206, 255.997811
40, 217, 283.583644
41, 185, 268.477117
42, 214, 286.680359
43, 1000, 107.774399
44, 199, 263.263077
45, 193, 251.349093
46, 179, 257.619503
47, 170, 295.817036
48, 337, 296.518531
49, 1000, 136.753605
50, 208, 291.480600
51, 187, 296.731498
52, 177, 274.339369
53, 183, 259.485534
54, 189, 280.869789
55, 204, 301.798610
56, 196, 253.469545
57, 183, 265.260536
58, 186, 289.111709
59, 187, 244.914632
60, 201, 253.487160
61, 181, 256.193887
62, 203, 269.298641
63, 185, 243.091606
64, 201, 243.159222
65, 193, 244.134270
66, 174, 282.941747
67, 174, 257.460038
68, 169, 292.629507
69, 231, 300.306068
70, 247, 302.195040
71, 188, 300.768403
72, 186, 291.613989
73, 224, 305.500854
74, 186, 272.150002
75, 188, 281.148678
76, 180, 273.573873
77, 213, 313.128633
78, 203, 257.438562
79, 191, 250.212706
80, 185, 268.719214
81, 196, 298.180293
82, 194, 261.049195
83, 180, 299.957290
84, 184, 252.006140
85, 200, 296.545027
86, 181, 260.621230
87, 1000, 193.066727
88, 177, 296.355336
89, 252, 290.789527
90, 212, 280.917094
91, 184, 244.744748
92, 179, 274.924876
93, 214, 274.663040
94, 234, 300.835996
95, 206, 278.103417
96, 213, 286.840211
97, 1000, 170.057494
98, 189, 257.900679
99, 183, 243.650291
100, 217, 298.609499
