episode, time, score
1, 202, 237.909187
2, 241, 280.093741
3, 220, 260.718602
4, 231, 249.204053
5, 240, 298.207120
6, 204, 233.799694
7, 234, 255.750402
8, 247, 231.381852
9, 514, 281.571093
10, 207, 297.070867
11, 206, 296.932308
12, 199, 259.892993
13, 251, 229.916168
14, 208, 293.828034
15, 1000, 176.019780
16, 216, 240.469240
17, 264, 296.559051
18, 241, 285.708159
19, 211, 249.919710
20, 207, 281.350018
21, 227, 257.225157
22, 232, 261.391445
23, 205, 240.422352
24, 202, 288.376246
25, 233, 277.270752
26, 237, 276.595489
27, 216, 264.912519
28, 199, 254.522089
29, 220, 285.694273
30, 237, 281.118196
31, 209, 286.568524
32, 237, 279.235633
33, 238, 274.711571
34, 238, 280.857225
35, 246, 294.598002
36, 1000, 157.731425
37, 259, 265.966506
38, 236, 305.597016
39, 238, 280.822051
40, 235, 275.294133
41, 262, 298.837130
42, 231, 292.887302
43, 216, 268.707265
44, 228, 252.278152
45, 220, 278.258212
46, 191, 277.045743
47, 237, 273.108416
48, 204, 285.425312
49, 235, 230.670921
50, 244, 268.875582
51, 229, 284.516676
52, 1000, 153.738695
53, 243, 289.632567
54, 212, 294.191193
55, 248, 293.889694
56, 229, 262.964620
57, 257, 281.893524
58, 254, 281.487685
59, 249, 271.696595
60, 260, 312.543612
61, 278, 283.077882
62, 247, 257.790868
63, 203, 293.666492
64, 227, 277.590951
65, 218, 259.024300
66, 212, 250.629677
67, 224, 271.032293
68, 228, 272.951908
69, 232, 252.168026
70, 217, 277.818253
71, 226, 270.861773
72, 253, 302.534758
73, 261, 280.774443
74, 162, 51.447717
75, 1000, 176.048235
76, 240, 268.861188
77, 242, 271.591784
78, 223, 291.522855
79, 224, 246.341094
80, 245, 272.721375
81, 235, 273.656243
82, 238, 285.921470
83, 196, 249.337816
84, 1000, 161.869910
85, 247, 263.031025
86, 253, 262.644119
87, 199, 246.414743
88, 1000, 169.759131
89, 1000, 189.365295
90, 268, 252.770495
91, 1000, 149.608104
92, 271, 263.628184
93, 218, 240.137062
94, 220, 230.818846
95, 216, 257.389894
96, 268, 308.539215
97, 240, 288.853598
98, 235, 276.158685
99, 257, 264.194918
100, 254, 226.593894
