episode, time, score
1, 204, 296.307973
2, 179, 275.355012
3, 168, 260.781188
4, 158, 257.724459
5, 166, 280.057991
6, 151, 280.788079
7, 196, 261.285601
8, 183, 268.659991
9, 197, 285.128251
10, 200, 289.601823
11, 199, 291.476605
12, 232, 301.839266
13, 200, 290.489332
14, 202, 284.782881
15, 206, 298.422858
16, 195, 277.969437
17, 235, 300.115556
18, 164, 267.412958
19, 170, 270.627326
20, 219, 301.729168
21, 189, 263.266854
22, 187, 268.584719
23, 157, 277.703798
24, 173, 267.400026
25, 167, 242.790857
26, 197, 261.220953
27, 214, 288.667860
28, 175, 301.651617
29, 155, 273.635423
30, 198, 283.561866
31, 178, 262.913875
32, 224, 291.587292
33, 162, 270.349329
34, 183, 254.435467
35, 152, 270.628487
36, 199, 289.087282
37, 196, 281.893740
38, 149, 267.905305
39, 177, 300.743117
40, 207, 254.326970
41, 212, 293.912328
42, 169, 309.195038
43, 180, 293.371619
44, 170, 253.011924
45, 212, 286.417078
46, 195, 279.799419
47, 170, 274.593926
48, 232, 321.159681
49, 207, 311.223920
50, 167, 281.267956
51, 179, 275.757336
52, 214, 301.283232
53, 201, 287.471824
54, 177, 261.347319
55, 169, 261.266040
56, 174, 250.099384
57, 178, 305.814201
58, 206, 298.999962
59, 195, 279.679631
60, 180, 270.214028
61, 173, 261.361781
62, 169, 262.313504
63, 167, 285.834028
64, 176, 299.349761
65, 336, 293.225732
66, 185, 284.721416
67, 181, 278.420515
68, 193, 283.009199
69, 237, 296.532496
70, 199, 289.892681
71, 200, 304.466580
72, 209, 284.399265
73, 167, 302.404724
74, 174, 263.633087
75, 166, 241.253869
76, 189, 285.772468
77, 198, 286.591151
78, 150, 271.824025
79, 835, 265.174046
80, 180, 262.512885
81, 156, 283.666968
82, 186, 265.978499
83, 175, 294.565220
84, 181, 293.008513
85, 179, 295.972372
86, 163, 270.108675
87, 194, 278.996204
88, 236, 297.324080
89, 184, 301.941419
90, 155, 258.686640
91, 230, 303.117063
92, 188, 279.148001
93, 201, 296.565976
94, 172, 241.918551
95, 220, 302.200182
96, 179, 309.000365
97, 170, 254.550353
98, 172, 294.765166
99, 204, 304.313010
100, 158, 294.253458
