episode, time, score
1, 172, 268.265210
2, 199, 304.679032
3, 200, 287.015891
4, 186, 257.448440
5, 195, 256.987147
6, 196, 264.472245
7, 204, 273.261143
8, 208, 273.051623
9, 198, 271.938934
10, 163, 278.425576
11, 169, 267.412848
12, 178, 251.541868
13, 227, 278.297014
14, 209, 303.170150
15, 184, 253.354191
16, 170, 250.722978
17, 209, 273.063883
18, 176, 274.292791
19, 186, 284.094777
20, 1000, 179.484006
21, 226, 298.252008
22, 244, 286.077695
23, 216, 307.160940
24, 201, 292.537222
25, 246, 317.202602
26, 228, 287.366583
27, 167, 282.605408
28, 196, 275.321218
29, 191, 259.960655
30, 183, 267.532190
31, 171, 277.468696
32, 184, 278.348745
33, 191, 270.586077
34, 230, 285.236486
35, 181, 285.818385
36, 205, 294.949284
37, 191, 255.655455
38, 189, 297.949033
39, 197, 263.889096
40, 183, 248.984136
41, 186, 271.036733
42, 181, 303.602137
43, 199, 279.152372
44, 175, 251.744837
45, 209, 290.509498
46, 188, 242.887150
47, 212, 310.930602
48, 205, 290.089020
49, 189, 274.162734
50, 200, 298.657550
51, 198, 285.987559
52, 183, 240.588047
53, 207, 281.967008
54, 170, 286.506415
55, 259, 292.000064
56, 205, 282.851746
57, 236, 277.401665
58, 187, 317.819671
59, 199, 286.102318
60, 1000, 170.672527
61, 191, 252.988641
62, 206, 274.279357
63, 233, 287.993787
64, 177, 246.570581
65, 236, 294.081141
66, 194, 299.141730
67, 175, 282.162101
68, 214, 290.303742
69, 177, 267.973364
70, 180, 296.788317
71, 190, 250.298307
72, 189, 277.025350
73, 180, 249.379875
74, 184, 276.725303
75, 183, 254.172280
76, 238, 288.965198
77, 203, 274.752985
78, 192, 257.455055
79, 201, 277.651255
80, 161, 286.356504
81, 231, 290.349131
82, 187, 245.056422
83, 219, 281.977485
84, 189, 274.082148
85, 170, 249.676299
86, 166, 285.094998
87, 181, 304.391181
88, 189, 276.040752
89, 199, 295.399674
90, 173, 273.931919
91, 229, 276.086490
92, 169, 288.615057
93, 252, 317.774128
94, 190, 312.004228
95, 177, 277.029617
96, 224, 306.294854
97, 218, 280.062115
98, 186, 274.823968
99, 1000, 192.323388
100, 171, 295.109414
