episode, time, score
1, 218, 299.445777
2, 171, 284.689364
3, 189, 257.474121
4, 221, 292.384376
5, 237, 317.968995
6, 176, 268.992417
7, 190, 287.257586
8, 194, 265.217466
9, 198, 279.022286
10, 193, 267.565817
11, 210, 277.503655
12, 204, 281.895061
13, 173, 284.314781
14, 184, 286.818545
15, 193, 254.866864
16, 172, 282.465739
17, 196, 265.322879
18, 185, 252.389827
19, 199, 290.413983
20, 201, 296.337646
21, 181, 252.847356
22, 445, 272.799675
23, 178, 248.890081
24, 194, 246.514022
25, 197, 259.562093
26, 213, 283.641905
27, 223, 303.817639
28, 196, 281.293842
29, 207, 282.337101
30, 194, 260.265686
31, 161, 280.801900
32, 193, 305.088086
33, 1000, 193.258696
34, 173, 271.442470
35, 191, 294.734555
36, 178, 276.263020
37, 192, 295.229699
38, 220, 305.735361
39, 178, 273.522975
40, 172, 274.417959
41, 182, 243.248406
42, 206, 269.619807
43, 188, 304.966892
44, 351, 296.731866
45, 169, 283.175230
46, 201, 300.192643
47, 228, 307.971374
48, 223, 302.519518
49, 164, 286.620909
50, 179, 279.368352
51, 181, 260.038816
52, 206, 277.423267
53, 186, 264.274503
54, 183, 264.206456
55, 190, 300.791260
56, 190, 254.580313
57, 194, 258.529948
58, 841, 286.513862
59, 224, 307.058483
60, 205, 285.001532
61, 177, 245.379464
62, 211, 284.059781
63, 192, 282.651971
64, 222, 286.913792
65, 206, 282.784749
66, 1000, 186.116785
67, 204, 279.552748
68, 239, 295.380085
69, 182, 293.904871
70, 163, 281.729787
71, 214, 288.226693
72, 214, 286.288055
73, 199, 259.644498
74, 171, 280.001943
75, 199, 255.597259
76, 182, 243.368786
77, 209, 278.992741
78, 189, 274.190886
79, 202, 279.146404
80, 927, 282.552751
81, 187, 265.361431
82, 188, 269.056872
83, 196, 297.692620
84, 205, 280.851311
85, 1000, 259.007325
86, 187, 293.255686
87, 243, 304.094989
88, 211, 277.633396
89, 202, 281.560860
90, 199, 272.064149
91, 192, 259.875339
92, 213, 303.864263
93, 216, 278.267874
94, 196, 311.988321
95, 218, 272.876314
96, 215, 292.233762
97, 190, 267.961683
98, 217, 284.246311
99, 177, 270.404188
100, 214, 288.561212
