episode, time, score
1, 207, 286.173575
2, 198, 266.523472
3, 170, 280.960597
4, 166, 239.048367
5, 185, 314.458956
6, 261, 302.379777
7, 1000, 169.742355
8, 172, 242.779396
9, 199, 313.174450
10, 200, 263.336305
11, 190, 271.449189
12, 169, 261.599340
13, 209, 284.463365
14, 208, 305.920768
15, 190, 295.578189
16, 190, 258.067862
17, 184, 266.464707
18, 183, 257.112460
19, 186, 239.161259
20, 173, 290.172081
21, 200, 296.011826
22, 195, 267.925196
23, 234, 310.014574
24, 183, 260.014949
25, 219, 290.338940
26, 239, 302.565096
27, 180, 264.593756
28, 263, 303.382557
29, 190, 263.462877
30, 220, 279.387536
31, 193, 257.411933
32, 203, 293.804776
33, 203, 292.328755
34, 160, 271.877896
35, 244, 281.801686
36, 231, 273.848064
37, 212, 286.813283
38, 204, 290.886620
39, 193, 265.222755
40, 194, 275.955990
41, 203, 294.785571
42, 192, 271.650461
43, 199, 262.530337
44, 230, 318.730908
45, 175, 289.823511
46, 242, 293.462229
47, 210, 278.376058
48, 168, 58.336345
49, 194, 277.248621
50, 226, 296.113644
51, 211, 287.055537
52, 206, 281.203829
53, 182, 251.814143
54, 213, 278.197047
55, 166, 270.555968
56, 183, 265.803310
57, 176, 261.313952
58, 208, 288.835016
59, 199, 305.941350
60, 1000, 154.777543
61, 209, 304.190220
62, 170, 276.431000
63, 176, 260.503851
64, 196, 269.894691
65, 183, 302.659603
66, 169, 286.413568
67, 168, 288.979064
68, 201, 290.668357
69, 216, 290.874426
70, 167, 285.712787
71, 205, 285.800838
72, 209, 255.750714
73, 1000, 183.670798
74, 217, 300.892635
75, 194, 271.222144
76, 200, 276.044397
77, 191, 255.470172
78, 204, 284.322635
79, 199, 279.119766
80, 211, 281.341441
81, 168, 273.417813
82, 157, 280.691137
83, 213, 292.396956
84, 220, 293.148259
85, 172, 261.664432
86, 209, 281.994920
87, 172, 236.912924
88, 183, 282.793859
89, 183, 265.084241
90, 194, 280.985382
91, 236, 300.030415
92, 202, 308.786003
93, 223, 304.807275
94, 201, 298.250612
95, 213, 286.579710
96, 155, 268.794445
97, 228, 304.615387
98, 174, 257.919279
99, 211, 280.050557
100, 202, 255.914196
