episode, time, score
1, 261, 290.754834
2, 240, 279.837987
3, 363, 231.734964
4, 243, 287.974052
5, 231, 288.006820
6, 209, 272.614840
7, 185, 306.115917
8, 204, 266.278261
9, 220, 244.011623
10, 245, 286.291519
11, 276, 281.991271
12, 198, 269.164993
13, 196, 314.895995
14, 226, 282.125558
15, 226, 293.736264
16, 223, 295.137201
17, 204, 280.493582
18, 223, 252.226037
19, 211, 265.211101
20, 218, 298.560309
21, 249, 257.105066
22, 247, 277.080880
23, 216, 244.400147
24, 216, 298.833021
25, 249, 276.167297
26, 221, 246.350634
27, 233, 288.013954
28, 311, 262.803786
29, 262, 276.439632
30, 210, 307.869064
31, 257, 276.579716
32, 271, 286.026748
33, 236, 262.237351
34, 262, 222.262733
35, 202, 286.267873
36, 215, 269.302033
37, 238, 303.991285
38, 255, 295.070407
39, 213, 287.474578
40, 201, 280.079928
41, 245, 241.612709
42, 243, 298.984572
43, 244, 276.196423
44, 291, 271.362469
45, 222, 229.262639
46, 256, 317.055058
47, 223, 270.097460
48, 246, 274.591974
49, 252, 292.966873
50, 226, 259.480273
51, 244, 278.239149
52, 267, 283.923241
53, 1000, 125.875803
54, 237, 266.298022
55, 225, 302.999752
56, 220, 246.820779
57, 253, 245.149085
58, 233, 285.393124
59, 231, 270.703241
60, 265, 279.489920
61, 246, 272.733347
62, 200, 304.074963
63, 276, 282.458405
64, 260, 286.316517
65, 229, 288.701664
66, 242, 298.406257
67, 221, 264.170955
68, 248, 255.948293
69, 234, 283.738121
70, 239, 305.774089
71, 293, 246.696806
72, 281, 266.313070
73, 256, 296.972524
74, 241, 259.245163
75, 262, 264.109582
76, 206, 308.148974
77, 233, 303.400222
78, 250, 270.590270
79, 251, 282.429095
80, 207, 303.289307
81, 203, 306.367597
82, 231, 295.614934
83, 202, 302.249946
84, 253, 237.439073
85, 265, 285.518863
86, 239, 277.254821
87, 212, 287.852408
88, 233, 260.591658
89, 288, 256.682917
90, 191, 295.290275
91, 238, 249.481638
92, 217, 248.577912
93, 224, 254.134030
94, 204, 301.869612
95, 234, 274.945326
96, 240, 266.629605
97, 231, 292.753894
98, 201, 273.013510
99, 287, 234.603750
100, 195, 258.078595
