episode, time, score
1, 255, 293.302313
2, 236, 275.532074
3, 1000, 144.837991
4, 199, 52.973652
5, 261, 294.881865
6, 174, 268.616876
7, 194, 285.276843
8, 204, 272.106114
9, 187, 251.169708
10, 189, 263.050960
11, 252, 268.376691
12, 216, 260.147929
13, 244, 279.619411
14, 222, 251.274135
15, 192, 248.896594
16, 275, 283.752773
17, 213, 278.240964
18, 176, 250.167397
19, 203, 270.741298
20, 212, 263.544976
21, 300, 297.880329
22, 214, 286.860017
23, 198, 280.815709
24, 175, 262.234332
25, 260, 290.556568
26, 264, 281.548030
27, 207, 248.724498
28, 220, 284.165347
29, 251, 267.209395
30, 198, 258.518644
31, 199, 257.949174
32, 249, 275.017020
33, 219, 284.623605
34, 205, 260.934117
35, 251, 282.560015
36, 258, 258.347068
37, 262, 280.844577
38, 236, 295.575863
39, 194, 250.718631
40, 254, 282.967754
41, 238, 299.899535
42, 259, 285.052381
43, 183, 275.511190
44, 284, 303.317844
45, 280, 295.471258
46, 259, 281.356069
47, 214, 261.996347
48, 211, 294.359375
49, 255, 264.960863
50, 202, 278.516593
51, 259, 270.503855
52, 198, 259.260320
53, 193, 293.103020
54, 176, 290.001793
55, 219, 268.456580
56, 255, 256.616740
57, 175, 254.023207
58, 259, 289.739984
59, 225, 263.349737
60, 256, 293.876493
61, 247, 259.018164
62, 256, 278.092655
63, 265, 277.927109
64, 170, 68.165208
65, 261, 279.828995
66, 223, 273.897275
67, 198, 275.973647
68, 233, 305.075486
69, 197, 267.582911
70, 181, 260.089345
71, 228, 280.712850
72, 187, 267.667215
73, 253, 273.703323
74, 195, 254.903613
75, 222, 272.998524
76, 218, 251.259950
77, 248, 270.388966
78, 242, 289.339045
79, 242, 268.194693
80, 206, 295.784307
81, 252, 277.424325
82, 196, 257.821968
83, 245, 306.070746
84, 202, 286.994637
85, 200, 275.444692
86, 188, 278.835438
87, 211, 295.586484
88, 254, 281.514222
89, 203, 270.745038
90, 196, 256.452568
91, 267, 258.140430
92, 249, 263.106007
93, 237, 255.558533
94, 219, 299.848130
95, 242, 285.227351
96, 194, 244.333933
97, 273, 291.089203
98, 171, 288.216138
99, 209, 265.450244
100, 223, 286.513734
