episode, time, score
1, 192, 298.310462
2, 235, 310.777300
3, 218, 303.013666
4, 214, 316.668514
5, 215, 264.656455
6, 182, 255.311161
7, 202, 311.739930
8, 201, 293.694518
9, 252, 306.011600
10, 207, 269.892735
11, 213, 312.911541
12, 189, 281.578612
13, 183, 246.353760
14, 185, 250.655992
15, 199, 300.586033
16, 215, 291.128641
17, 188, 261.746680
18, 187, 264.050848
19, 213, 283.461390
20, 191, 253.132522
21, 179, 265.370609
22, 234, 287.990496
23, 183, 259.337658
24, 202, 249.580172
25, 197, 260.043342
26, 224, 285.221235
27, 207, 264.119782
28, 177, 249.736486
29, 195, 258.379359
30, 174, 293.803090
31, 200, 279.609623
32, 194, 240.334315
33, 223, 284.564441
34, 216, 309.405240
35, 238, 268.918598
36, 225, 244.949396
37, 213, 292.578751
38, 225, 286.188136
39, 190, 279.329736
40, 203, 271.598260
41, 200, 295.028077
42, 178, 289.603839
43, 188, 281.017726
44, 184, 259.384086
45, 213, 309.566870
46, 183, 245.515130
47, 190, 278.030453
48, 201, 256.214722
49, 203, 262.174114
50, 191, 294.238971
51, 216, 299.211262
52, 175, 286.768160
53, 223, 273.132238
54, 247, 300.449035
55, 201, 276.839519
56, 170, 263.676965
57, 174, 270.704975
58, 196, 239.683963
59, 192, 253.363928
60, 203, 283.199312
61, 175, 257.662219
62, 172, 253.095051
63, 172, 270.338376
64, 208, 251.024791
65, 207, 297.879664
66, 247, 298.032156
67, 208, 251.779650
68, 187, 257.016680
69, 198, 262.659063
70, 208, 270.569285
71, 235, 288.679708
72, 214, 290.507377
73, 172, 258.281317
74, 188, 256.642376
75, 230, 286.549222
76, 179, 280.842093
77, 201, 287.242692
78, 213, 306.425971
79, 182, 269.230496
80, 167, 275.832409
81, 202, 283.965265
82, 182, 289.984272
83, 1000, 182.493408
84, 181, 277.589130
85, 179, 286.910906
86, 196, 239.922565
87, 204, 255.316096
88, 199, 262.009604
89, 214, 306.775301
90, 197, 246.682417
91, 201, 269.234004
92, 254, 312.849854
93, 189, 259.691260
94, 177, 279.736825
95, 217, 308.487554
96, 189, 286.429663
97, 199, 305.174675
98, 214, 301.262285
99, 217, 277.245534
100, 258, 301.257871
