episode, time, score
1, 222, 274.403182
2, 213, 269.859348
3, 311, 261.982416
4, 243, 292.392277
5, 229, 249.174699
6, 282, 242.716215
7, 221, 277.738903
8, 207, 264.455049
9, 247, 308.245207
10, 226, 299.776996
11, 205, 284.501168
12, 202, 245.720372
13, 222, 235.991587
14, 206, 265.954954
15, 233, 293.217152
16, 226, 269.051851
17, 162, 316.778562
18, 190, 302.977854
19, 1000, 148.235588
20, 206, 232.926408
21, 248, 202.744204
22, 189, 245.749835
23, 286, 283.454387
24, 236, 246.767815
25, 224, 297.633197
26, 241, 305.185259
27, 209, 292.804948
28, 194, 309.436709
29, 247, 309.184683
30, 221, 260.533695
31, 251, 275.178103
32, 196, 297.679855
33, 229, 267.722212
34, 226, 290.538883
35, 242, 265.814717
36, 220, 247.396932
37, 1000, 153.082901
38, 203, 260.312743
39, 1000, 136.997096
40, 206, 277.211078
41, 277, 284.777427
42, 210, 257.221288
43, 241, 275.659915
44, 219, 255.240276
45, 187, 257.100461
46, 193, 249.485600
47, 231, 293.544787
48, 214, 277.263945
49, 194, 312.171297
50, 235, 274.565580
51, 209, 245.069869
52, 241, 285.775125
53, 217, 256.768109
54, 207, 250.013374
55, 204, 230.418447
56, 263, 288.748289
57, 231, 279.180807
58, 245, 273.869361
59, 1000, 173.509889
60, 182, 249.750174
61, 218, 271.392400
62, 219, 269.177462
63, 220, 281.805588
64, 237, 284.646139
65, 240, 275.775246
66, 197, 299.369345
67, 224, 225.674652
68, 225, 264.799846
69, 185, 317.508482
70, 206, 305.353449
71, 208, 300.773287
72, 199, 300.581210
73, 220, 299.077069
74, 265, 279.997860
75, 199, 266.496296
76, 203, 261.354042
77, 542, 259.798621
78, 275, 255.284375
79, 247, 269.026335
80, 222, 261.531036
81, 214, 264.591029
82, 175, 272.995936
83, 224, 297.016770
84, 240, 270.068817
85, 204, 234.496708
86, 210, 290.901479
87, 201, 263.256784
88, 226, 271.282277
89, 228, 280.611099
90, 201, 242.154611
91, 207, 306.232533
92, 225, 271.250676
93, 212, 252.127013
94, 223, 305.526006
95, 214, 264.622403
96, 258, 240.659966
97, 226, 270.869513
98, 214, 267.151293
99, 196, 246.202256
100, 172, 267.250246
