episode, time, score
1, 218, 309.209195
2, 186, 316.006414
3, 198, 309.212666
4, 207, 302.282515
5, 201, 266.898962
6, 213, 282.974592
7, 197, 279.960284
8, 510, 261.620656
9, 211, 290.507964
10, 249, 291.050364
11, 206, 290.605695
12, 204, 271.025587
13, 207, 307.393621
14, 186, 251.903175
15, 159, 283.146609
16, 184, 304.386819
17, 191, 261.501665
18, 193, 267.422529
19, 184, 255.183217
20, 210, 257.758149
21, 211, 279.114954
22, 231, 265.038250
23, 199, 252.122265
24, 206, 293.487491
25, 206, 259.918041
26, 175, 240.559672
27, 183, 277.638536
28, 169, 271.903584
29, 248, 312.172749
30, 174, 285.066727
31, 214, 273.571212
32, 203, 316.480181
33, 196, 258.607907
34, 203, 250.047069
35, 167, 250.545476
36, 177, 281.191221
37, 196, 245.130099
38, 208, 275.176648
39, 187, 274.167235
40, 185, 282.178862
41, 172, 286.153526
42, 189, 268.434915
43, 184, 241.543573
44, 182, 265.874654
45, 225, 303.504879
46, 188, 235.618709
47, 217, 298.036322
48, 215, 264.427495
49, 704, 279.874741
50, 194, 282.362484
51, 220, 294.194500
52, 196, 266.348104
53, 204, 256.535539
54, 508, 291.000331
55, 188, 259.622298
56, 198, 306.076133
57, 663, 280.966746
58, 192, 263.626639
59, 176, 246.417028
60, 219, 278.310602
61, 209, 290.218904
62, 213, 275.962248
63, 196, 248.994920
64, 174, 249.333115
65, 180, 253.119611
66, 228, 259.089315
67, 209, 293.379020
68, 178, 259.419087
69, 203, 284.664582
70, 215, 302.237088
71, 214, 276.422247
72, 198, 266.669143
73, 213, 276.423263
74, 197, 303.393322
75, 184, 259.142459
76, 191, 246.155449
77, 179, 268.578095
78, 205, 274.920715
79, 212, 313.423915
80, 181, 268.918120
81, 1000, 149.732791
82, 613, 271.913398
83, 188, 269.810589
84, 196, 288.880542
85, 190, 243.743146
86, 211, 279.325211
87, 179, 251.197765
88, 180, 280.915679
89, 178, 266.675477
90, 203, 260.758002
91, 213, 296.762410
92, 510, 274.551212
93, 168, 270.258276
94, 184, 261.125663
95, 179, 240.058781
96, 194, 293.321780
97, 184, 264.715407
98, 188, 249.127704
99, 178, 248.200114
100, 169, 260.339718
