episode, time, score
1, 236, 275.710609
2, 244, 292.214531
3, 198, 266.537673
4, 258, 274.313854
5, 232, 260.547560
6, 226, 273.055237
7, 247, 248.111675
8, 210, 308.370105
9, 303, 288.747544
10, 226, 295.262309
11, 216, 247.946721
12, 219, 267.449867
13, 208, 292.826103
14, 243, 299.842291
15, 283, 289.477024
16, 208, 248.898333
17, 279, 234.133552
18, 316, 268.727884
19, 212, 290.115798
20, 250, 301.742247
21, 197, 283.921183
22, 200, 248.791115
23, 208, 245.303404
24, 235, 263.739006
25, 240, 248.259966
26, 227, 262.440500
27, 314, 269.930193
28, 227, 279.343444
29, 225, 297.325221
30, 246, 271.236765
31, 208, 283.361423
32, 220, 275.516089
33, 226, 273.679377
34, 252, 291.056193
35, 226, 256.244105
36, 286, 296.734725
37, 229, 234.897524
38, 261, 282.403963
39, 258, 283.174715
40, 223, 273.041603
41, 238, 267.632062
42, 246, 287.048476
43, 192, 276.340377
44, 193, 268.563447
45, 247, 266.676718
46, 263, 284.600371
47, 323, 287.051417
48, 226, 264.425870
49, 241, 251.173882
50, 286, 277.495245
51, 242, 300.576438
52, 279, 287.672288
53, 242, 264.099246
54, 217, 275.679767
55, 254, 295.473395
56, 226, 265.195355
57, 308, 253.699825
58, 194, 257.900157
59, 192, 307.361318
60, 234, 279.663237
61, 235, 269.886849
62, 238, 286.223154
63, 203, 243.303248
64, 217, 302.317892
65, 250, 259.415413
66, 203, 278.616044
67, 300, 283.126719
68, 236, 303.060399
69, 235, 241.381694
70, 214, 261.723219
71, 222, 255.622274
72, 204, 262.443425
73, 243, 287.267474
74, 217, 280.085559
75, 234, 281.561097
76, 218, 287.382581
77, 282, 276.422378
78, 207, 301.790230
79, 257, 289.482656
80, 283, 282.255585
81, 253, 274.671116
82, 252, 288.934710
83, 278, 283.476291
84, 278, 280.778507
85, 279, 275.579051
86, 259, 304.102192
87, 269, 247.655809
88, 259, 292.322826
89, 228, 269.479357
90, 227, 245.513837
91, 258, 268.953339
92, 244, 281.325651
93, 242, 264.262543
94, 256, 281.232624
95, 261, 259.136704
96, 287, 275.392744
97, 245, 279.907900
98, 246, 274.434463
99, 230, 262.991751
100, 226, 293.846995
