episode, time, score
1, 232, 304.047095
2, 196, 276.447131
3, 216, 317.467501
4, 201, 299.342677
5, 225, 259.496571
6, 157, 290.314546
7, 204, 277.464512
8, 168, 265.794516
9, 189, 259.644951
10, 207, 311.016883
11, 267, 222.561686
12, 209, 280.431407
13, 200, 273.769440
14, 195, 243.110606
15, 255, 277.081216
16, 176, 287.126869
17, 198, 287.224849
18, 174, 246.028038
19, 166, 302.464629
20, 179, 301.801797
21, 312, 279.851877
22, 220, 286.978872
23, 169, 273.871226
24, 228, 306.560413
25, 735, 226.662124
26, 170, 258.584105
27, 217, 291.110219
28, 176, 258.548551
29, 206, 311.354601
30, 634, 265.512100
31, 186, 257.620625
32, 336, 297.475977
33, 174, 253.575420
34, 181, 247.303376
35, 184, 300.008373
36, 222, 257.840926
37, 206, 291.079151
38, 197, 272.135742
39, 170, 311.866727
40, 209, 307.564870
41, 198, 278.929730
42, 200, 289.606400
43, 189, 300.749187
44, 155, 282.981458
45, 227, 312.169816
46, 181, 253.427510
47, 216, 260.802290
48, 321, 247.924008
49, 200, 296.382419
50, 220, 281.459672
51, 189, 276.569602
52, 131, 96.802009
53, 195, 269.026323
54, 217, 295.091491
55, 200, 286.933262
56, 276, 266.868038
57, 169, 271.410583
58, 222, 283.613027
59, 165, 284.286640
60, 198, 282.152731
61, 191, 282.551098
62, 178, 254.806687
63, 213, 306.796384
64, 194, 267.218646
65, 232, 261.780210
66, 187, 232.145416
67, 176, 275.730490
68, 1000, 178.366545
69, 207, 272.649336
70, 198, 273.323527
71, 216, 283.060384
72, 166, 284.122962
73, 232, 259.425577
74, 203, 262.756033
75, 186, 247.619924
76, 236, 271.235594
77, 217, 289.965724
78, 243, 268.058581
79, 173, 269.885366
80, 221, 269.131567
81, 190, 250.408125
82, 235, 280.252802
83, 164, 264.144599
84, 208, 289.946906
85, 207, 293.923148
86, 211, 313.737292
87, 212, 303.980339
88, 97, 25.040532
89, 174, 259.427801
90, 167, 290.253288
91, 158, 283.601336
92, 213, 257.725374
93, 166, 273.966611
94, 162, 256.071632
95, 88, -28.463259
96, 161, 280.708285
97, 254, 274.015487
98, 185, 298.461289
99, 174, 305.219747
100, 287, 259.757935
