episode, time, score
1, 191, 259.013406
2, 296, 263.042796
3, 192, 229.783068
4, 216, 272.292460
5, 182, 268.322408
6, 259, 263.062392
7, 222, 236.392785
8, 1000, 163.392684
9, 297, 284.579144
10, 189, 238.940252
11, 248, 251.765835
12, 213, 246.410814
13, 220, 291.531407
14, 1000, 151.656623
15, 205, 223.502476
16, 1000, 164.578148
17, 244, 258.523200
18, 236, 259.928586
19, 242, 263.586247
20, 209, 279.023763
21, 1000, 115.415474
22, 238, 277.619122
23, 1000, 142.000416
24, 228, 296.086543
25, 214, 260.080305
26, 298, 236.553022
27, 539, 244.599123
28, 245, 267.017659
29, 206, 257.367323
30, 200, 248.362607
31, 210, 209.780259
32, 324, 262.019765
33, 198, 276.949344
34, 223, 270.878779
35, 1000, 153.239197
36, 322, 242.998235
37, 247, 276.967536
38, 193, 261.186451
39, 228, 213.392241
40, 306, 286.012723
41, 1000, 108.274090
42, 195, 265.628252
43, 217, 289.974180
44, 215, 277.710562
45, 300, 261.757948
46, 201, 272.531710
47, 187, 309.286395
48, 259, 280.116578
49, 209, 257.476773
50, 217, 209.278797
51, 1000, 158.575443
52, 198, 217.776838
53, 228, 224.975328
54, 335, 260.176653
55, 239, 262.080357
56, 200, 249.549580
57, 226, 250.433150
58, 182, 209.547079
59, 259, 244.106986
60, 220, 267.828712
61, 1000, 136.104366
62, 1000, 149.751423
63, 286, 281.912699
64, 185, 256.328565
65, 221, 239.763464
66, 215, 286.976297
67, 277, 245.946668
68, 255, 283.732228
69, 239, 272.931079
70, 1000, 166.299325
71, 235, 262.875866
72, 207, 236.380592
73, 196, 276.539147
74, 229, 231.896266
75, 253, 288.495497
76, 208, 252.664937
77, 1000, 134.882161
78, 228, 285.474912
79, 233, 313.867615
80, 257, 260.616808
81, 214, 269.243833
82, 194, 238.379925
83, 243, 202.680218
84, 220, 224.819280
85, 189, 255.643830
86, 255, 250.205475
87, 1000, 179.647100
88, 236, 256.910980
89, 274, 287.881975
90, 1000, 115.023616
91, 221, 262.168808
92, 240, 288.239314
93, 240, 281.515125
94, 220, 293.253050
95, 220, 293.694857
96, 261, 246.039312
97, 227, 268.461073
98, 238, 249.087126
99, 337, 247.563335
100, 252, 279.070563
