episode, time, score
1, 205, 259.502704
2, 225, 301.698999
3, 198, 246.532985
4, 230, 257.758502
5, 199, 277.574619
6, 208, 261.910037
7, 186, 304.606580
8, 175, 305.849018
9, 195, 297.161191
10, 211, 270.710307
11, 204, 256.564315
12, 183, 308.345450
13, 243, 303.515283
14, 177, 291.697638
15, 176, 323.720364
16, 201, 278.466866
17, 214, 273.048281
18, 226, 279.946113
19, 185, 252.671295
20, 254, 311.486374
21, 218, 267.325677
22, 200, 253.379698
23, 226, 282.932199
24, 224, 272.165939
25, 207, 266.438967
26, 209, 287.605009
27, 194, 305.501425
28, 243, 277.593828
29, 223, 278.092252
30, 172, 295.821099
31, 194, 267.517556
32, 246, 284.204135
33, 204, 270.140840
34, 209, 281.076688
35, 205, 286.394898
36, 225, 267.858485
37, 199, 239.867874
38, 213, 264.273418
39, 197, 270.604116
40, 201, 276.156252
41, 210, 271.066458
42, 201, 277.992238
43, 179, 303.003280
44, 216, 278.921377
45, 197, 278.416055
46, 207, 279.835862
47, 232, 288.206201
48, 173, 290.384294
49, 212, 271.594689
50, 204, 266.863299
51, 236, 294.368151
52, 186, 282.136512
53, 210, 244.628552
54, 188, 271.023691
55, 214, 263.272950
56, 201, 264.069867
57, 196, 302.599476
58, 272, 307.597634
59, 252, 312.840660
60, 1000, 173.679139
61, 209, 266.355476
62, 185, 250.934810
63, 240, 300.127544
64, 206, 279.277797
65, 211, 279.789692
66, 216, 305.701404
67, 234, 272.503849
68, 187, 282.435188
69, 200, 270.007309
70, 195, 272.641552
71, 190, 261.601937
72, 241, 294.446330
73, 179, 281.834552
74, 197, 260.934372
75, 182, 275.945133
76, 193, 250.962549
77, 190, 281.066643
78, 200, 251.552033
79, 189, 287.904997
80, 194, 259.392499
81, 221, 286.407170
82, 202, 273.383171
83, 201, 262.459234
84, 177, 286.584065
85, 191, 257.494136
86, 216, 269.925060
87, 246, 302.075840
88, 207, 235.752616
89, 206, 261.483549
90, 252, 292.063101
91, 203, 259.172965
92, 217, 290.740937
93, 188, 322.350604
94, 196, 265.693711
95, 189, 251.664914
96, 195, 232.133094
97, 243, 282.019873
98, 235, 290.183487
99, 183, 289.946710
100, 208, 251.348700
