episode, time, score
1, 210, 268.894363
2, 193, 292.959126
3, 209, 289.763000
4, 179, 280.182556
5, 224, 282.672413
6, 210, 306.113429
7, 175, 247.763949
8, 222, 305.994628
9, 215, 277.852094
10, 213, 283.697938
11, 210, 307.901869
12, 197, 279.714285
13, 240, 301.731128
14, 199, 319.196742
15, 185, 260.009295
16, 185, 289.278354
17, 185, 305.126593
18, 170, 286.502001
19, 191, 281.758371
20, 201, 304.147815
21, 165, 283.835267
22, 188, 261.163205
23, 215, 307.876709
24, 227, 292.259533
25, 214, 285.474841
26, 173, 292.370366
27, 181, 255.749684
28, 182, 286.741503
29, 183, 253.928492
30, 181, 247.601108
31, 202, 295.999554
32, 168, 251.657767
33, 237, 300.758695
34, 190, 289.415861
35, 197, 243.179959
36, 214, 294.643019
37, 197, 266.379584
38, 184, 255.731210
39, 203, 256.960508
40, 214, 283.669134
41, 234, 264.051887
42, 171, 292.865916
43, 163, 286.296397
44, 175, 277.587742
45, 188, 271.398838
46, 198, 300.890816
47, 183, 267.508245
48, 195, 285.653899
49, 170, 299.238088
50, 196, 269.242262
51, 193, 322.023770
52, 177, 270.471708
53, 202, 286.363213
54, 200, 280.146372
55, 170, 285.528983
56, 210, 300.417992
57, 222, 320.859133
58, 205, 265.657841
59, 168, 252.560611
60, 165, 282.858873
61, 203, 252.531464
62, 212, 271.348781
63, 180, 250.655506
64, 207, 290.928044
65, 211, 288.105972
66, 222, 260.841714
67, 181, 255.674266
68, 206, 286.665659
69, 185, 287.165244
70, 182, 273.159443
71, 215, 292.826673
72, 259, 274.526941
73, 207, 247.869453
74, 223, 283.381118
75, 187, 288.137560
76, 203, 252.241116
77, 174, 259.908495
78, 243, 298.585662
79, 192, 281.050797
80, 201, 296.645130
81, 178, 285.484066
82, 179, 293.933795
83, 198, 254.895678
84, 203, 278.169376
85, 180, 287.151299
86, 176, 242.454042
87, 178, 301.314769
88, 249, 270.255904
89, 201, 264.923729
90, 746, 242.580413
91, 198, 250.000192
92, 193, 293.776337
93, 228, 300.877113
94, 213, 261.291009
95, 173, 297.515420
96, 183, 245.135808
97, 166, 277.120852
98, 213, 252.680320
99, 211, 277.514370
100, 182, 253.396960
