episode, time, score
1, 179, 252.785825
2, 253, 273.137018
3, 828, 260.829776
4, 201, 282.203406
5, 211, 264.965850
6, 193, 265.804582
7, 201, 267.726685
8, 1000, 143.112840
9, 221, 295.679393
10, 195, 271.962235
11, 202, 270.003122
12, 234, 300.710930
13, 195, 254.076953
14, 208, 271.692853
15, 209, 315.691378
16, 240, 283.282074
17, 199, 296.807794
18, 217, 255.335938
19, 237, 294.406004
20, 212, 278.763178
21, 204, 276.987269
22, 177, 245.466178
23, 208, 271.813357
24, 202, 256.775557
25, 190, 238.814766
26, 1000, 169.891147
27, 184, 237.722198
28, 1000, 140.571493
29, 1000, 184.389735
30, 196, 262.635681
31, 182, 242.557953
32, 184, 269.911968
33, 186, 261.511705
34, 211, 280.592975
35, 222, 281.426337
36, 233, 277.623287
37, 202, 261.956961
38, 191, 258.036236
39, 229, 303.201979
40, 1000, 161.778086
41, 228, 296.125704
42, 207, 242.849285
43, 168, 284.503710
44, 371, 256.145199
45, 177, 298.089217
46, 1000, 177.008184
47, 172, 257.322948
48, 188, 237.991364
49, 266, 286.388082
50, 180, 272.687438
51, 247, 283.333973
52, 173, 267.670628
53, 188, 300.778497
54, 227, 255.118633
55, 214, 312.761155
56, 218, 288.790386
57, 170, 272.883497
58, 228, 287.811170
59, 229, 295.963653
60, 231, 311.661505
61, 179, 252.611940
62, 194, 260.648047
63, 1000, 143.413998
64, 216, 292.145196
65, 219, 297.474195
66, 197, 241.183984
67, 197, 280.571603
68, 170, 263.477669
69, 215, 280.404139
70, 205, 258.714892
71, 203, 286.817748
72, 244, 270.935047
73, 201, 259.513667
74, 195, 264.298294
75, 222, 289.781744
76, 242, 303.011524
77, 228, 280.743886
78, 1000, 131.838557
79, 189, 248.581811
80, 185, 315.044780
81, 184, 250.997852
82, 240, 303.265870
83, 201, 290.320968
84, 206, 284.329262
85, 199, 265.559439
86, 191, 286.115430
87, 180, 310.418049
88, 198, 274.985433
89, 193, 251.092379
90, 193, 262.083104
91, 233, 300.897953
92, 1000, 169.225171
93, 176, 271.727824
94, 202, 260.086233
95, 226, 289.706590
96, 207, 298.417157
97, 187, 245.182163
98, 171, 258.798338
99, 189, 247.637841
100, 161, 271.676805
